#options: 320x220 fps=359/12 timebase=12/359 bitdepth=8cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=31 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:51.00 tex:174 mv:197 misc:101 imb:280 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:50.62 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:47.40 tex:172 mv:42 misc:146 imb:6 pmb:1 smb:273 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:45.74 tex:1993 mv:497 misc:254 imb:237 pmb:19 smb:24 d:- ref:0 w:6,101,-9
;
in:5 out:4 type:P dur:2 cpbdur:2 q:48.34 tex:307 mv:208 misc:269 imb:33 pmb:10 smb:237 d:- ref:0 w:6,111,-12
;
in:4 out:5 type:b dur:2 cpbdur:2 q:47.04 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:8 out:6 type:P dur:2 cpbdur:2 q:46.60 tex:2020 mv:241 misc:267 imb:13 pmb:47 smb:220 d:- ref:0 w:6,107,-11
;
in:7 out:7 type:B dur:2 cpbdur:2 q:47.18 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:6 out:8 type:b dur:2 cpbdur:2 q:47.76 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:11 out:9 type:P dur:2 cpbdur:2 q:46.19 tex:1567 mv:348 misc:293 imb:76 pmb:67 smb:137 d:- ref:0 w:6,89,-6
;
in:10 out:10 type:B dur:2 cpbdur:2 q:46.32 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:46.46 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:15 out:12 type:P dur:2 cpbdur:2 q:45.58 tex:2208 mv:248 misc:288 imb:12 pmb:50 smb:218 d:- ref:0 w:3,11,-6
;
in:13 out:13 type:B dur:2 cpbdur:2 q:45.88 tex:0 mv:2 misc:126 imb:0 pmb:1 smb:279 d:s ref:0 ;
in:12 out:14 type:b dur:2 cpbdur:2 q:46.03 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:45.73 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:18 out:16 type:P dur:2 cpbdur:2 q:44.82 tex:2030 mv:147 misc:279 imb:4 pmb:50 smb:226 d:s ref:0 w:6,75,-3
;
in:17 out:17 type:B dur:2 cpbdur:2 q:45.07 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:45.33 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:44.50 tex:2268 mv:183 misc:277 imb:6 pmb:48 smb:226 d:s ref:0 w:2,5,-4
;
in:20 out:20 type:B dur:2 cpbdur:2 q:44.66 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:44.74 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:44.58 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:43.87 tex:1545 mv:112 misc:295 imb:7 pmb:40 smb:233 d:s ref:0 w:4,19,-3
;
in:24 out:24 type:B dur:2 cpbdur:2 q:44.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:44.34 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:44.03 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:42.95 tex:2385 mv:105 misc:262 imb:6 pmb:50 smb:224 d:s ref:0 w:6,73,-2
;
in:28 out:28 type:B dur:2 cpbdur:2 q:43.41 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:43.64 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:43.18 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:42.43 tex:1037 mv:90 misc:241 imb:6 pmb:26 smb:248 d:s ref:0 ;
in:33 out:32 type:P dur:2 cpbdur:2 q:42.54 tex:315 mv:36 misc:201 imb:2 pmb:9 smb:269 d:s ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:42.48 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:42.00 tex:1310 mv:49 misc:217 imb:1 pmb:29 smb:250 d:s ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:42.27 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:42.40 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:42.13 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:39 out:38 type:P dur:2 cpbdur:2 q:41.19 tex:1673 mv:55 misc:240 imb:0 pmb:38 smb:242 d:s ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:41.59 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:41 out:40 type:P dur:2 cpbdur:2 q:41.19 tex:626 mv:22 misc:184 imb:0 pmb:14 smb:266 d:s ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:43 out:42 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:45 out:44 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:s ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:51 out:48 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:49 out:49 type:B dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:48 out:50 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:53 out:52 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:57 out:56 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:59 out:58 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:65 out:64 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:67 out:66 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:69 out:68 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:71 out:70 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:120 imb:0 pmb:0 smb:280 d:- ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:41.19 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:280 d:- ref:0 ;
